game_date,week,passer_player_name,posteam,defteam,passing_yards,pass_touchdown,complete_pass,interception
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,20.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,10.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,19.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,8.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,11.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,12.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,26.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,8.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,18.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,21.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,22.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,19.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,7.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,3.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,7.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,16.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,24.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,15.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,14.0,0.0,1.0,0.0
