model_name,target,train_samples,test_samples,accuracy,precision,recall,f1,roc_auc
passing_yards_elite_qb,over_elite_qb,3110,778,0.622107969151671,0.322884012539185,0.569060773480663,0.412,0.6242029669526269
passing_yards_star_qb,over_star_qb,3110,778,0.615681233933162,0.4490861618798956,0.6615384615384615,0.5349922239502333,0.6813780813780814
passing_yards_good_qb,over_good_qb,3110,778,0.6606683804627249,0.5975903614457831,0.7188405797101449,0.6526315789473685,0.7195702379757003
passing_yards_starter,over_starter,3110,778,0.6876606683804627,0.7165532879818595,0.728110599078341,0.7222857142857143,0.728656494480763
passing_tds_elite_qb,over_elite_qb,3110,778,0.6696658097686375,0.2542955326460481,0.6491228070175439,0.3654320987654321,0.7164315155358274
passing_tds_star_qb,over_star_qb,3110,778,0.5809768637532133,0.4641025641025641,0.6073825503355704,0.5261627906976745,0.6335465604026846
passing_tds_good_qb,over_good_qb,3110,778,0.5809768637532133,0.4641025641025641,0.6073825503355704,0.5261627906976745,0.6335465604026846
passing_tds_starter,over_starter,3110,778,0.6773778920308483,0.77431906614786,0.7467166979362101,0.7602674307545367,0.7031244017306735
rushing_yards_elite_rb,over_elite_rb,10547,2637,0.7610921501706485,0.4183564567769477,0.8218029350104822,0.5544554455445545,0.8605860315241867
rushing_yards_star_rb,over_star_rb,10547,2637,0.7777777777777778,0.51931330472103,0.7781350482315113,0.6229086229086229,0.8489515929563644
rushing_yards_good_rb,over_good_rb,10547,2637,0.7773985589685248,0.6150670794633643,0.7358024691358025,0.6700393479482856,0.8415732462986615
rushing_yards_starter,over_starter,10547,2637,0.7599544937428896,0.6879668049792531,0.7633517495395948,0.723701440419031,0.8404314687963448
rushing_tds_elite_rb,over_elite_rb,10547,2637,0.6575654152445961,0.3135593220338983,0.6568047337278107,0.42447418738049714,0.7186987804539267
rushing_tds_star_rb,over_star_rb,10547,2637,0.6575654152445961,0.3135593220338983,0.6568047337278107,0.42447418738049714,0.7186987804539267
rushing_tds_good_rb,over_good_rb,10547,2637,0.6575654152445961,0.3135593220338983,0.6568047337278107,0.42447418738049714,0.7186987804539267
rushing_tds_anytime,over_anytime,10547,2637,0.6575654152445961,0.3135593220338983,0.6568047337278107,0.42447418738049714,0.7186987804539267
receiving_yards_star_wr,over_star_wr,20661,5166,0.7388695315524584,0.33970753655793023,0.7753530166880617,0.47242862729761437,0.8216944215799219
receiving_yards_good_wr,over_good_wr,20661,5166,0.7396438250096786,0.4687015002586653,0.7401960784313726,0.5739626227431105,0.8061149328664327
receiving_yards_starter,over_starter,20661,5166,0.7088656600851723,0.6323260073260073,0.6633045148895294,0.647444913267698,0.7661878699644036
receiving_tds_elite_wr,over_elite_wr,20661,5166,0.6488579171506,0.2643106022896964,0.6124567474048442,0.36926286509040335,0.6704913537736976
receiving_tds_star_wr,over_star_wr,20661,5166,0.6488579171506,0.2643106022896964,0.6124567474048442,0.36926286509040335,0.6704913537736976
receiving_tds_good_wr,over_good_wr,20661,5166,0.6488579171506,0.2643106022896964,0.6124567474048442,0.36926286509040335,0.6704913537736976
receiving_tds_anytime,over_anytime,20661,5166,0.6488579171506,0.2643106022896964,0.6124567474048442,0.36926286509040335,0.6704913537736976
