player_name,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receptions,receiving_tds,week,season
J.Noel,0.0,0.0,0.0,0.0,13.0,1.0,0.0,18,2025
J.Oliver,0.0,0.0,0.0,0.0,29.0,2.0,0.0,18,2025
J.Palmer,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,2025
J.Patterson,0.0,0.0,29.0,0.0,8.0,3.0,0.0,18,2025
J.Proche,0.0,0.0,0.0,0.0,5.0,1.0,0.0,18,2025
J.Royals,0.0,0.0,0.0,0.0,4.0,2.0,0.0,18,2025
J.Smith,0.0,0.0,2.0,0.0,2.0,1.0,0.0,18,2025
J.Smith-Njigba,0.0,0.0,0.0,0.0,84.0,6.0,0.0,18,2025
J.Smith-Schuster,0.0,0.0,0.0,0.0,13.0,2.0,0.0,18,2025
J.Taylor,0.0,0.0,26.0,0.0,13.0,2.0,0.0,18,2025
J.Tolbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
J.Walker,0.0,0.0,0.0,0.0,36.0,2.0,1.0,18,2025
J.Warren,0.0,0.0,66.0,0.0,33.0,5.0,0.0,18,2025
J.Westover,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18,2025
J.Whyle,0.0,0.0,0.0,0.0,4.0,1.0,0.0,18,2025
J.Williams,0.0,0.0,0.0,0.0,74.0,6.0,0.0,18,2025
J.Wright,0.0,0.0,23.0,0.0,17.0,2.0,0.0,18,2025
Ji.Horn,0.0,0.0,0.0,0.0,15.0,1.0,0.0,18,2025
K.Allen,0.0,0.0,0.0,0.0,36.0,7.0,0.0,18,2025
K.Austin,0.0,0.0,0.0,0.0,37.0,4.0,0.0,18,2025
K.Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
K.Boutte,0.0,0.0,0.0,0.0,24.0,2.0,0.0,18,2025
K.Coleman,0.0,0.0,0.0,0.0,49.0,2.0,0.0,18,2025
K.Cousins,180.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
K.Gainwell,0.0,0.0,10.0,1.0,64.0,8.0,0.0,18,2025
K.Granson,0.0,0.0,0.0,0.0,30.0,4.0,0.0,18,2025
K.Herbert,0.0,0.0,42.0,0.0,4.0,1.0,0.0,18,2025
K.Hunt,0.0,0.0,14.0,0.0,21.0,3.0,0.0,18,2025
K.Juszczyk,0.0,0.0,0.0,0.0,5.0,1.0,0.0,18,2025
K.Lambert-Smith,0.0,0.0,0.0,0.0,24.0,2.0,0.0,18,2025
K.Latu,0.0,0.0,0.0,0.0,31.0,3.0,0.0,18,2025
K.Mitchell,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18,2025
K.Monangai,0.0,0.0,14.0,0.0,15.0,1.0,0.0,18,2025
K.Mumpfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
K.Nwangwu,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18,2025
K.Pickett,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
K.Pitts,0.0,0.0,0.0,0.0,58.0,6.0,0.0,18,2025
K.Raymond,0.0,0.0,0.0,0.0,52.0,3.0,0.0,18,2025
K.Turpin,0.0,0.0,7.0,0.0,0.0,0.0,0.0,18,2025
K.Vidal,0.0,0.0,12.0,0.0,-2.0,1.0,0.0,18,2025
K.Walker,0.0,0.0,97.0,0.0,36.0,4.0,0.0,18,2025
K.Williams,0.0,0.0,74.0,0.0,21.0,3.0,0.0,18,2025
L.Burden,0.0,0.0,10.0,0.0,35.0,3.0,0.0,18,2025
L.Jackson,238.0,3.0,11.0,0.0,0.0,0.0,0.0,18,2025
L.Schoonmaker,0.0,0.0,0.0,0.0,12.0,1.0,0.0,18,2025
M.Alie-Cox,0.0,0.0,0.0,0.0,22.0,3.0,0.0,18,2025
M.Andrews,0.0,0.0,0.0,0.0,14.0,2.0,0.0,18,2025
M.Brosmer,57.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
M.Brown,0.0,0.0,0.0,0.0,64.0,3.0,0.0,18,2025
M.Carter,0.0,0.0,18.0,0.0,21.0,3.0,0.0,18,2025
M.Corley,0.0,0.0,18.0,0.0,20.0,2.0,0.0,18,2025
M.Evans,0.0,0.0,0.0,0.0,39.0,3.0,0.0,18,2025
M.Gesicki,0.0,0.0,0.0,0.0,13.0,2.0,0.0,18,2025
M.Golden,0.0,0.0,0.0,0.0,8.0,1.0,0.0,18,2025
M.Haack,28.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
M.Mayer,0.0,0.0,0.0,0.0,47.0,3.0,0.0,18,2025
M.Mims,0.0,0.0,0.0,0.0,10.0,2.0,0.0,18,2025
M.Pittman,0.0,0.0,0.0,0.0,20.0,2.0,0.0,18,2025
M.Stafford,259.0,4.0,0.0,0.0,0.0,0.0,0.0,18,2025
M.Trubisky,259.0,4.0,0.0,0.0,0.0,0.0,0.0,18,2025
M.Valdes-Scantling,0.0,0.0,0.0,0.0,34.0,5.0,0.0,18,2025
M.Washington,0.0,0.0,22.0,0.0,6.0,3.0,1.0,18,2025
M.Wilson,0.0,0.0,0.0,0.0,99.0,5.0,1.0,18,2025
N.Fant,0.0,0.0,0.0,0.0,5.0,1.0,0.0,18,2025
N.Gray,0.0,0.0,0.0,0.0,30.0,3.0,0.0,18,2025
N.Mullens,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
O.Gadsden,0.0,0.0,0.0,0.0,23.0,2.0,0.0,18,2025
O.Gordon,0.0,0.0,9.0,0.0,2.0,1.0,0.0,18,2025
P.Bryant,0.0,0.0,0.0,0.0,31.0,4.0,0.0,18,2025
P.Durham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
P.Freiermuth,0.0,0.0,0.0,0.0,51.0,3.0,0.0,18,2025
P.Mafah,0.0,0.0,18.0,1.0,11.0,2.0,0.0,18,2025
P.Nacua,0.0,0.0,24.0,0.0,76.0,10.0,1.0,18,2025
P.Ricard,0.0,0.0,0.0,0.0,8.0,1.0,0.0,18,2025
P.Washington,0.0,0.0,0.0,0.0,87.0,5.0,1.0,18,2025
Q.Ewers,137.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
Q.Morris,0.0,0.0,0.0,0.0,5.0,1.0,1.0,18,2025
Q.Skinner,0.0,0.0,0.0,0.0,10.0,1.0,0.0,18,2025
R.Ali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
R.Bell,0.0,0.0,0.0,0.0,23.0,2.0,1.0,18,2025
R.Davis,0.0,0.0,151.0,0.0,23.0,2.0,1.0,18,2025
R.Dowdle,0.0,0.0,10.0,0.0,20.0,2.0,0.0,18,2025
R.Flournoy,0.0,0.0,0.0,0.0,68.0,5.0,0.0,18,2025
R.Gilliam,0.0,0.0,4.0,0.0,22.0,1.0,0.0,18,2025
R.Harvey,0.0,0.0,28.0,0.0,5.0,1.0,0.0,18,2025
R.Leonard,270.0,2.0,1.0,1.0,0.0,0.0,0.0,18,2025
R.Sanchez,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
R.Sanders,0.0,0.0,26.0,0.0,7.0,1.0,0.0,18,2025
R.Shaheed,0.0,0.0,0.0,0.0,2.0,1.0,0.0,18,2025
R.Stevenson,0.0,0.0,131.0,2.0,22.0,2.0,1.0,18,2025
R.White,0.0,0.0,23.0,0.0,18.0,2.0,0.0,18,2025
S.Buechele,88.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
S.Cannella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
S.Darnold,198.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
S.Diggs,0.0,0.0,0.0,0.0,43.0,3.0,0.0,18,2025
S.Jackson,0.0,0.0,3.0,0.0,11.0,1.0,0.0,18,2025
S.Miller,0.0,0.0,0.0,0.0,9.0,2.0,0.0,18,2025
S.Perine,0.0,0.0,42.0,0.0,10.0,3.0,0.0,18,2025
S.Sanders,111.0,0.0,4.0,0.0,0.0,0.0,0.0,18,2025
S.Toure,0.0,0.0,0.0,0.0,3.0,1.0,0.0,18,2025
S.Tucker,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,18,2025
T.Allgeier,0.0,0.0,16.0,0.0,3.0,1.0,0.0,18,2025
T.Atwell,0.0,0.0,0.0,0.0,19.0,1.0,0.0,18,2025
T.Badie,0.0,0.0,-2.0,0.0,28.0,2.0,0.0,18,2025
T.Bigsby,0.0,0.0,75.0,1.0,31.0,1.0,0.0,18,2025
T.Burks,0.0,0.0,0.0,0.0,12.0,2.0,0.0,18,2025
T.Chandler,0.0,0.0,23.0,0.0,11.0,3.0,0.0,18,2025
T.Conklin,0.0,0.0,0.0,0.0,6.0,1.0,0.0,18,2025
T.Etienne,0.0,0.0,32.0,0.0,6.0,1.0,0.0,18,2025
T.Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
T.Goodson,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18,2025
T.Harris,0.0,0.0,0.0,0.0,28.0,2.0,0.0,18,2025
T.Henderson,0.0,0.0,53.0,2.0,0.0,0.0,0.0,18,2025
T.Higbee,0.0,0.0,0.0,0.0,91.0,5.0,1.0,18,2025
T.Higgins,0.0,0.0,0.0,0.0,67.0,6.0,1.0,18,2025
T.Hill,0.0,0.0,0.0,0.0,32.0,3.0,0.0,18,2025
T.Johnson,0.0,0.0,5.0,0.0,17.0,1.0,0.0,18,2025
T.Kelce,0.0,0.0,0.0,0.0,12.0,3.0,0.0,18,2025
T.Lance,136.0,0.0,9.0,0.0,0.0,0.0,0.0,18,2025
T.Lawrence,255.0,3.0,0.0,0.0,0.0,0.0,0.0,18,2025
T.Lockett,0.0,0.0,0.0,0.0,5.0,1.0,0.0,18,2025
T.McBride,0.0,0.0,0.0,0.0,65.0,7.0,0.0,18,2025
T.McKee,241.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
T.McLaurin,0.0,0.0,0.0,0.0,57.0,4.0,0.0,18,2025
T.McMillan,0.0,0.0,0.0,0.0,84.0,4.0,0.0,18,2025
T.Patrick,0.0,0.0,0.0,0.0,4.0,1.0,0.0,18,2025
T.Pollard,0.0,0.0,48.0,0.0,17.0,3.0,0.0,18,2025
T.Shough,259.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
T.Spears,0.0,0.0,18.0,0.0,9.0,7.0,0.0,18,2025
T.Tracy,0.0,0.0,103.0,0.0,56.0,8.0,1.0,18,2025
T.Tremble,0.0,0.0,0.0,0.0,38.0,3.0,1.0,18,2025
T.Tucker,0.0,0.0,4.0,0.0,30.0,2.0,0.0,18,2025
T.Warren,0.0,0.0,0.0,0.0,26.0,5.0,0.0,18,2025
T.Washington,0.0,0.0,0.0,0.0,26.0,2.0,0.0,18,2025
T.Wease,0.0,0.0,0.0,0.0,44.0,3.0,0.0,18,2025
T.Williams,0.0,0.0,7.0,0.0,13.0,1.0,0.0,18,2025
Ty.Johnson,0.0,0.0,36.0,1.0,20.0,2.0,1.0,18,2025
W.Dissly,0.0,0.0,0.0,0.0,6.0,1.0,0.0,18,2025
W.Marks,0.0,0.0,48.0,0.0,0.0,2.0,0.0,18,2025
W.Shipley,0.0,0.0,2.0,0.0,11.0,2.0,0.0,18,2025
X.Hutchinson,0.0,0.0,0.0,0.0,84.0,5.0,0.0,18,2025
X.Legette,0.0,0.0,0.0,0.0,22.0,3.0,0.0,18,2025
X.Smith,0.0,0.0,0.0,0.0,6.0,1.0,0.0,18,2025
Z.Charbonnet,0.0,0.0,74.0,1.0,23.0,3.0,0.0,18,2025
Z.Flowers,0.0,0.0,0.0,0.0,138.0,4.0,2.0,18,2025
Z.Scott,0.0,0.0,9.0,0.0,8.0,1.0,0.0,18,2025
Z.White,0.0,0.0,5.0,0.0,5.0,1.0,0.0,18,2025
Z.Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
