week,date,home_team,away_team,venue,status
7,2025-10-19,JAX,LA,TIAA Bank Stadium,REG
7,2025-10-19,CHI,NO,Soldier Field,REG
7,2025-10-19,CLE,MIA,FirstEnergy Stadium,REG
7,2025-10-19,KC,LV,GEHA Field at Arrowhead Stadium,REG
7,2025-10-19,MIN,PHI,U.S. Bank Stadium,REG
7,2025-10-19,NYJ,CAR,MetLife Stadium,REG
7,2025-10-19,TEN,NE,Nissan Stadium,REG
7,2025-10-19,DEN,NYG,Empower Field at Mile High,REG
7,2025-10-19,LAC,IND,SoFi Stadium,REG
7,2025-10-19,ARI,GB,State Farm Stadium,REG
7,2025-10-19,DAL,WAS,AT&T Stadium,REG
7,2025-10-19,SF,ATL,Levi's Stadium,REG
7,2025-10-20,DET,TB,Ford Field,REG
7,2025-10-20,SEA,HOU,Lumen Field,REG
8,2025-10-23,LAC,MIN,SoFi Stadium,REG
8,2025-10-26,ATL,MIA,Mercedes-Benz Stadium,REG
8,2025-10-26,BAL,CHI,M&T Bank Stadium,REG
8,2025-10-26,CAR,BUF,Bank of America Stadium,REG
8,2025-10-26,CIN,NYJ,Paycor Stadium,REG
8,2025-10-26,HOU,SF,NRG Stadium,REG
8,2025-10-26,NE,CLE,Gillette Stadium,REG
8,2025-10-26,PHI,NYG,Lincoln Financial Field,REG
8,2025-10-26,NO,TB,Mercedes-Benz Superdome,REG
8,2025-10-26,DEN,DAL,Empower Field at Mile High,REG
8,2025-10-26,IND,TEN,Lucas Oil Stadium,REG
8,2025-10-26,PIT,GB,Acrisure Stadium,REG
8,2025-10-27,KC,WAS,GEHA Field at Arrowhead Stadium,REG
9,2025-10-30,MIA,BAL,Hard Rock Stadium,REG
9,2025-11-02,CIN,CHI,Paycor Stadium,REG
9,2025-11-02,DET,MIN,Ford Field,REG
9,2025-11-02,GB,CAR,Lambeau Field,REG
9,2025-11-02,HOU,DEN,NRG Stadium,REG
9,2025-11-02,NE,ATL,Gillette Stadium,REG
9,2025-11-02,NYG,SF,MetLife Stadium,REG
9,2025-11-02,PIT,IND,Acrisure Stadium,REG
9,2025-11-02,TEN,LAC,Nissan Stadium,REG
9,2025-11-02,LA,NO,SoFi Stadium,REG
